1, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
2, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
3, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
5, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
6, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
7, plains, minecraft:plains, MONSTER, minecraft:enderman, 10, 1, 4
8, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
9, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
10, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
11, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
12, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
13, plains, minecraft:plains, MONSTER, mythicmounts:dragon, 80, 1, 1
14, plains, minecraft:plains, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
15, plains, minecraft:plains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
16, plains, minecraft:plains, MONSTER, graveyard:nightmare, 10, 1, 1
17, plains, minecraft:plains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
18, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
19, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
20, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
21, plains, minecraft:plains, CREATURE, minecraft:cow, 8, 4, 4
22, plains, minecraft:plains, CREATURE, minecraft:horse, 5, 2, 6
23, plains, minecraft:plains, CREATURE, minecraft:donkey, 5, 1, 3
24, plains, minecraft:plains, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
25, plains, minecraft:plains, CREATURE, betteranimalsplus:songbird, 11, 1, 4
26, plains, minecraft:plains, CREATURE, betteranimalsplus:badger, 7, 1, 2
27, plains, minecraft:plains, CREATURE, betteranimalsplus:coyote, 5, 1, 6
28, plains, minecraft:plains, CREATURE, betteranimalsplus:boar, 9, 1, 4
29, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
30, plains, minecraft:plains, AMBIENT, mythicmounts:firebird, 5, 1, 1
31, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
32, private, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
33, private, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
34, private, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
35, private, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
36, private, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
37, private, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
38, private, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 10, 1, 4
39, private, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
40, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_creeper, 80, 1, 1
41, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
42, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_skeleton, 80, 1, 1
43, private, minecraft:sunflower_plains, MONSTER, mutantmonsters:mutant_zombie, 80, 1, 1
44, private, minecraft:sunflower_plains, MONSTER, mythicmounts:dragon, 80, 1, 1
45, private, minecraft:sunflower_plains, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
46, private, minecraft:sunflower_plains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
47, private, minecraft:sunflower_plains, MONSTER, graveyard:nightmare, 10, 1, 1
48, private, minecraft:sunflower_plains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
49, private, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
50, private, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
51, private, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
52, private, minecraft:sunflower_plains, CREATURE, minecraft:cow, 8, 4, 4
53, private, minecraft:sunflower_plains, CREATURE, minecraft:horse, 5, 2, 6
54, private, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 5, 1, 3
55, private, minecraft:sunflower_plains, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
