1, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
2, repurposed_structures:mineshaft_warped, HEADING, header:ignore, 0, 0, 0
3, repurposed_structures:mineshaft_savanna, HEADING, header:ignore, 0, 0, 0
4, soulsweapons:champions_graves, HEADING, header:ignore, 0, 0, 0
5, mvs:houses/large_floating_island, HEADING, header:ignore, 0, 0, 0
6, nova_structures:well_spruce, HEADING, header:ignore, 0, 0, 0
7, repurposed_structures:ruins_land_cold, HEADING, header:ignore, 0, 0, 0
8, mvs:stall/pink_stall, HEADING, header:ignore, 0, 0, 0
9, mvs:ruins/statue_ruins, HEADING, header:ignore, 0, 0, 0
10, mvs:other_decoration/fox_hut, HEADING, header:ignore, 0, 0, 0
11, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
12, repurposed_structures:ruins_land_warm, HEADING, header:ignore, 0, 0, 0
13, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
14, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
15, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
16, mvs:well/wells/birch_well, HEADING, header:ignore, 0, 0, 0
17, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
18, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
19, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
20, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
21, nova_structures:wild_ruin, HEADING, header:ignore, 0, 0, 0
22, repurposed_structures:pyramid_ocean, HEADING, header:ignore, 0, 0, 0
23, repurposed_structures:pyramid_ocean, MONSTER, minecraft:drowned, 80, 1, 4
24, repurposed_structures:pyramid_ocean, MONSTER, minecraft:guardian, 30, 1, 2
25, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
26, mvs:well/wells/acacia_well, HEADING, header:ignore, 0, 0, 0
27, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
28, awesomedungeonnether:nth_center_square, HEADING, header:ignore, 0, 0, 0
29, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
30, repurposed_structures:temple_nether_warped, HEADING, header:ignore, 0, 0, 0
31, nova_structures:firewatch_tower_forest, HEADING, header:ignore, 0, 0, 0
32, repurposed_structures:outpost_mangrove, HEADING, header:ignore, 0, 0, 0
33, repurposed_structures:outpost_mangrove, MONSTER, minecraft:pillager, 10, 1, 1
34, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
35, repurposed_structures:monument_nether, HEADING, header:ignore, 0, 0, 0
36, repurposed_structures:monument_nether, MONSTER, minecraft:magma_cube, 20, 1, 3
37, repurposed_structures:monument_nether, MONSTER, minecraft:wither_skeleton, 10, 1, 3
38, repurposed_structures:monument_nether, MONSTER, minecraft:ghast, 5, 1, 1
39, awesomedungeonnether:nth_absi_palace, HEADING, header:ignore, 0, 0, 0
40, mvs:houses/house, HEADING, header:ignore, 0, 0, 0
41, soulsweapons:cathedral_of_resurrection, HEADING, header:ignore, 0, 0, 0
42, soulsweapons:cathedral_of_resurrection, MONSTER, soulsweapons:dark_sorcerer, 80, 1, 4
43, mvs:other_decoration/villager_statue, HEADING, header:ignore, 0, 0, 0
44, awesomedungeonnether:nth_accum_quad, HEADING, header:ignore, 0, 0, 0
45, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
46, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 5, 0, 0
47, mvs:crystal, HEADING, header:ignore, 0, 0, 0
48, nova_structures:well_jungle, HEADING, header:ignore, 0, 0, 0
49, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
50, minecraft:stronghold, MONSTER, minecraft:spider, 80, 4, 4
51, minecraft:stronghold, MONSTER, minecraft:zombie, 80, 4, 16
52, minecraft:stronghold, MONSTER, minecraft:zombie_villager, 5, 1, 1
53, minecraft:stronghold, MONSTER, minecraft:skeleton, 80, 4, 4
54, minecraft:stronghold, MONSTER, minecraft:creeper, 80, 4, 4
55, minecraft:stronghold, MONSTER, minecraft:slime, 80, 4, 4
56, minecraft:stronghold, MONSTER, minecraft:enderman, 80, 1, 4
57, minecraft:stronghold, MONSTER, minecraft:endermite, 80, 1, 16
58, minecraft:stronghold, MONSTER, minecraft:drowned, 80, 4, 4
59, minecraft:stronghold, MONSTER, minecraft:witch, 5, 1, 1
60, repurposed_structures:village_crimson, HEADING, header:ignore, 0, 0, 0
61, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
62, nova_structures:firewatch_tower_taiga, HEADING, header:ignore, 0, 0, 0
63, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
64, repurposed_structures:village_oak, HEADING, header:ignore, 0, 0, 0
65, repurposed_structures:bastion_underground, HEADING, header:ignore, 0, 0, 0
66, repurposed_structures:bastion_underground, MONSTER, minecraft:skeleton, 10, 1, 4
67, nova_structures:tavern_desert, HEADING, header:ignore, 0, 0, 0
68, mvs:other_decoration/fire_camp, HEADING, header:ignore, 0, 0, 0
69, repurposed_structures:monument_desert, HEADING, header:ignore, 0, 0, 0
70, repurposed_structures:monument_desert, MONSTER, minecraft:husk, 20, 1, 4
71, repurposed_structures:monument_desert, MONSTER, minecraft:creeper, 15, 1, 2
72, repurposed_structures:monument_desert, MONSTER, minecraft:skeleton, 10, 1, 3
73, mvs:houses/deepslate_house, HEADING, header:ignore, 0, 0, 0
74, repurposed_structures:city_nether, HEADING, header:ignore, 0, 0, 0
75, repurposed_structures:city_nether, MONSTER, minecraft:wither_skeleton, 10, 2, 3
76, repurposed_structures:city_nether, MONSTER, minecraft:blaze, 80, 1, 4
77, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
78, repurposed_structures:ancient_city_nether, HEADING, header:ignore, 0, 0, 0
79, repurposed_structures:ancient_city_nether, MONSTER, minecraft:ghast, 10, 6, 10
80, repurposed_structures:ancient_city_nether, MONSTER, minecraft:wither_skeleton, 5, 1, 3
81, repurposed_structures:witch_hut_birch, HEADING, header:ignore, 0, 0, 0
82, repurposed_structures:witch_hut_birch, MONSTER, minecraft:witch, 5, 1, 1
83, repurposed_structures:witch_hut_birch, CREATURE, minecraft:cat, 5, 1, 1
84, minecraft:stronghold_town, HEADING, header:ignore, 0, 0, 0
85, minecraft:stronghold_town, MONSTER, minecraft:spider, 80, 4, 4
86, minecraft:stronghold_town, MONSTER, minecraft:zombie, 80, 4, 16
87, minecraft:stronghold_town, MONSTER, minecraft:zombie_villager, 5, 1, 1
88, minecraft:stronghold_town, MONSTER, minecraft:skeleton, 80, 4, 4
89, minecraft:stronghold_town, MONSTER, minecraft:creeper, 80, 4, 4
90, minecraft:stronghold_town, MONSTER, minecraft:slime, 80, 4, 4
91, minecraft:stronghold_town, MONSTER, minecraft:enderman, 80, 1, 4
92, minecraft:stronghold_town, MONSTER, minecraft:endermite, 80, 1, 16
93, minecraft:stronghold_town, MONSTER, minecraft:drowned, 80, 4, 4
94, minecraft:stronghold_town, MONSTER, minecraft:witch, 5, 1, 1
95, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
96, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
97, repurposed_structures:mineshaft_taiga, HEADING, header:ignore, 0, 0, 0
98, repurposed_structures:village_swamp, HEADING, header:ignore, 0, 0, 0
99, mvs:houses/desert_house, HEADING, header:ignore, 0, 0, 0
100, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
101, nova_structures:stray_fort, HEADING, header:ignore, 0, 0, 0
102, nova_structures:stray_fort, MONSTER, minecraft:stray, 5, 1, 32
103, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
104, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
105, repurposed_structures:pyramid_mushroom, HEADING, header:ignore, 0, 0, 0
